,AnoLetivo,ID_Aluno,Genero,Tipo_Serie,Grup_Economic,Frequencia_aluno_Aula(%),Media_geral_notas_aluno,status_aluno,StudentAcademic_Performance_Status
50,2019,5122,F,Grup B - anos finais,E,79,5,1,Aprovado parcialmente
51,2019,2337,F,Grup A - anos iniciais,B,67,4,2,Reforço
52,2019,4389,M,Grup B - anos finais,B,58,9,0,Aprovado
53,2019,4892,F,Grup A - anos iniciais,C,87,10,0,Aprovado
54,2019,3618,F,Grup B - anos finais,C,78,5,1,Aprovado parcialmente
55,2019,3757,M,Grup B - anos finais,B,76,3,2,Reforço
56,2019,3074,F,Grup B - anos finais,E,76,4,2,Reforço
57,2019,3369,F,Grup A - anos iniciais,A,76,0,2,Reforço
58,2019,2018,M,Grup B - anos finais,C,76,0,2,Reforço
59,2019,4496,F,Grup B - anos finais,A,76,2,2,Reforço
60,2019,3644,F,Grup B - anos finais,A,76,10,0,Aprovado
61,2019,3039,F,Grup A - anos iniciais,A,76,10,0,Aprovado
62,2019,2700,M,Grup A - anos iniciais,C,45,0,2,Reforço
63,2019,3985,F,Grup B - anos finais,D,90,9,0,Aprovado
64,2019,2385,M,Grup B - anos finais,B,49,4,2,Reforço
65,2019,3900,F,Grup A - anos iniciais,B,89,10,0,Aprovado
66,2019,3770,M,Grup B - anos finais,A,98,8,0,Aprovado
67,2019,3517,M,Grup A - anos iniciais,A,88,10,0,Aprovado
68,2019,3280,M,Grup A - anos iniciais,B,57,3,2,Reforço
69,2019,5130,F,Grup B - anos finais,B,70,6,0,Aprovado
70,2019,2651,F,Grup B - anos finais,D,97,7,0,Aprovado
71,2019,4611,M,Grup A - anos iniciais,C,54,6,0,Aprovado
72,2019,2506,M,Grup A - anos iniciais,E,78,8,0,Aprovado
73,2019,3852,F,Grup B - anos finais,C,60,2,2,Reforço
74,2019,4396,M,Grup A - anos iniciais,E,67,2,2,Reforço
75,2019,4187,F,Grup A - anos iniciais,D,11,2,2,Reforço
76,2019,5282,M,Grup B - anos finais,D,73,9,0,Aprovado
77,2019,3590,M,Grup B - anos finais,D,89,8,0,Aprovado
78,2019,4590,F,Grup B - anos finais,D,56,2,2,Reforço
79,2019,2756,F,Grup B - anos finais,A,85,9,0,Aprovado
80,2019,2833,M,Grup A - anos iniciais,A,92,3,2,Reforço
81,2019,4680,M,Grup B - anos finais,C,86,10,0,Aprovado
82,2019,2052,F,Grup A - anos iniciais,D,91,9,0,Aprovado
83,2019,4520,F,Grup A - anos iniciais,D,75,6,0,Aprovado
84,2019,4189,M,Grup B - anos finais,B,78,10,0,Aprovado
85,2019,5492,M,Grup B - anos finais,C,95,10,0,Aprovado
86,2019,2004,M,Grup A - anos iniciais,D,49,3,2,Reforço
87,2019,3322,M,Grup A - anos iniciais,C,56,2,2,Reforço
88,2019,4217,M,Grup B - anos finais,D,81,6,0,Aprovado
89,2019,3060,F,Grup A - anos iniciais,C,92,9,0,Aprovado
90,2019,3169,M,Grup A - anos iniciais,D,76,5,1,Aprovado parcialmente
91,2019,3652,M,Grup A - anos iniciais,A,91,7,0,Aprovado
92,2019,4687,F,Grup A - anos iniciais,C,89,7,0,Aprovado
93,2019,2334,M,Grup A - anos iniciais,E,29,0,2,Reforço
94,2019,2718,F,Grup B - anos finais,E,60,3,2,Reforço
95,2019,4106,M,Grup B - anos finais,D,51,0,2,Reforço
96,2019,4127,F,Grup B - anos finais,E,80,9,0,Aprovado
97,2019,3649,F,Grup B - anos finais,E,55,6,0,Aprovado
98,2019,3556,M,Grup A - anos iniciais,B,34,0,2,Reforço
99,2019,3229,M,Grup A - anos iniciais,C,87,7,0,Aprovado
100,2019,4602,M,Grup A - anos iniciais,C,65,2,2,Reforço
101,2019,2581,F,Grup A - anos iniciais,B,76,10,0,Aprovado
102,2019,3821,F,Grup A - anos iniciais,A,89,9,0,Aprovado
103,2019,3632,F,Grup A - anos iniciais,D,45,2,2,Reforço
104,2019,2286,M,Grup B - anos finais,B,53,1,2,Reforço
105,2019,5063,M,Grup B - anos finais,D,78,6,0,Aprovado
106,2019,4077,F,Grup A - anos iniciais,D,80,10,0,Aprovado
107,2019,5115,M,Grup B - anos finais,E,76,3,2,Reforço
108,2019,4816,M,Grup A - anos iniciais,D,19,0,2,Reforço
109,2019,3823,F,Grup A - anos iniciais,B,84,10,0,Aprovado
110,2019,4020,F,Grup B - anos finais,E,95,6,0,Aprovado
111,2019,3246,M,Grup A - anos iniciais,B,89,6,0,Aprovado
112,2019,5099,M,Grup A - anos iniciais,B,65,4,2,Reforço
113,2019,5009,F,Grup A - anos iniciais,E,46,4,2,Reforço
114,2019,5033,F,Grup B - anos finais,A,46,3,2,Reforço
115,2019,2281,M,Grup A - anos iniciais,A,89,8,0,Aprovado
116,2019,3372,M,Grup A - anos iniciais,A,78,7,0,Aprovado
117,2019,5209,F,Grup A - anos iniciais,A,93,9,0,Aprovado
118,2019,2168,F,Grup A - anos iniciais,E,54,2,2,Reforço
119,2019,4004,M,Grup B - anos finais,A,72,6,0,Aprovado
120,2019,2841,F,Grup A - anos iniciais,E,94,10,0,Aprovado
121,2019,2562,F,Grup B - anos finais,C,81,6,0,Aprovado
122,2019,2766,M,Grup B - anos finais,B,76,8,0,Aprovado
123,2019,2519,F,Grup B - anos finais,B,89,9,0,Aprovado
124,2019,5223,F,Grup B - anos finais,A,78,6,0,Aprovado
125,2019,5491,F,Grup A - anos iniciais,B,60,3,2,Reforço
126,2019,2291,F,Grup A - anos iniciais,C,93,7,0,Aprovado
127,2019,5315,F,Grup B - anos finais,E,80,6,0,Aprovado
128,2019,5087,M,Grup B - anos finais,A,55,4,2,Reforço
129,2019,3879,M,Grup A - anos iniciais,A,82,8,0,Aprovado
130,2019,3076,M,Grup B - anos finais,E,87,5,1,Aprovado parcialmente
131,2019,4094,M,Grup B - anos finais,B,78,7,0,Aprovado
132,2019,2751,F,Grup B - anos finais,E,76,3,2,Reforço
133,2019,2714,M,Grup A - anos iniciais,E,89,7,0,Aprovado
134,2019,4575,F,Grup A - anos iniciais,E,94,9,0,Aprovado
135,2019,3647,M,Grup A - anos iniciais,B,53,8,0,Aprovado
136,2019,4824,F,Grup A - anos iniciais,D,92,8,0,Aprovado
137,2019,4204,F,Grup B - anos finais,D,78,5,1,Aprovado parcialmente
138,2019,2496,M,Grup B - anos finais,E,76,10,0,Aprovado
139,2019,4486,M,Grup B - anos finais,C,91,2,2,Reforço
140,2019,2924,F,Grup A - anos iniciais,A,40,3,2,Reforço
141,2019,4856,F,Grup A - anos iniciais,B,95,4,2,Reforço
142,2019,4967,M,Grup A - anos iniciais,B,89,2,2,Reforço
143,2019,3661,M,Grup B - anos finais,C,98,1,2,Reforço
144,2019,5050,F,Grup B - anos finais,E,88,10,0,Aprovado
145,2019,2813,F,Grup A - anos iniciais,A,95,3,2,Reforço
146,2019,2576,F,Grup A - anos iniciais,D,95,10,0,Aprovado
147,2019,5149,M,Grup A - anos iniciais,C,97,6,0,Aprovado
148,2019,2511,M,Grup B - anos finais,B,54,6,0,Aprovado
149,2019,2568,M,Grup B - anos finais,A,78,8,0,Aprovado
150,2019,4795,F,Grup A - anos iniciais,B,80,0,2,Reforço
151,2019,2446,M,Grup B - anos finais,A,87,7,0,Aprovado
152,2019,4295,F,Grup A - anos iniciais,D,78,8,0,Aprovado
153,2019,4038,M,Grup A - anos iniciais,A,73,8,0,Aprovado
154,2019,4898,M,Grup A - anos iniciais,B,89,7,0,Aprovado
155,2019,4701,M,Grup B - anos finais,C,79,6,0,Aprovado
156,2019,5260,M,Grup A - anos iniciais,E,85,4,2,Reforço
157,2019,3648,M,Grup B - anos finais,B,92,6,0,Aprovado
158,2019,2507,M,Grup B - anos finais,D,45,4,2,Reforço
159,2019,4372,M,Grup A - anos iniciais,D,91,2,2,Reforço
160,2019,3590,F,Grup A - anos iniciais,E,20,6,0,Aprovado
161,2019,4973,F,Grup B - anos finais,A,78,0,2,Reforço
162,2019,4162,M,Grup A - anos iniciais,A,95,9,0,Aprovado
163,2019,2819,M,Grup B - anos finais,C,89,4,2,Reforço
164,2019,3796,M,Grup A - anos iniciais,E,93,6,0,Aprovado
165,2019,5345,F,Grup A - anos iniciais,C,81,2,2,Reforço
166,2019,2762,F,Grup B - anos finais,E,92,7,0,Aprovado
167,2019,2604,M,Grup A - anos iniciais,B,60,3,2,Reforço
168,2019,3381,F,Grup B - anos finais,C,93,7,0,Aprovado
169,2019,3191,F,Grup B - anos finais,C,80,2,2,Reforço
170,2019,3571,F,Grup A - anos iniciais,A,55,6,0,Aprovado
171,2019,2789,F,Grup B - anos finais,D,82,0,2,Reforço
172,2019,3435,F,Grup B - anos finais,C,87,4,2,Reforço
173,2019,3756,F,Grup B - anos finais,E,78,0,2,Reforço
174,2019,2213,F,Grup B - anos finais,B,76,2,2,Reforço
175,2019,3757,M,Grup A - anos iniciais,B,89,0,2,Reforço
176,2019,5222,F,Grup B - anos finais,B,94,9,0,Aprovado
177,2019,4997,F,Grup A - anos iniciais,D,53,9,0,Aprovado
178,2019,3861,F,Grup B - anos finais,E,92,9,0,Aprovado
179,2019,2888,M,Grup B - anos finais,C,78,10,0,Aprovado
180,2019,5475,M,Grup A - anos iniciais,A,76,6,0,Aprovado
181,2019,5123,M,Grup B - anos finais,C,91,9,0,Aprovado
182,2019,4394,F,Grup A - anos iniciais,B,40,7,0,Aprovado
183,2019,3747,F,Grup B - anos finais,B,95,10,0,Aprovado
184,2019,3436,F,Grup B - anos finais,E,89,8,0,Aprovado
185,2019,4260,F,Grup A - anos iniciais,C,98,9,0,Aprovado
186,2019,4384,F,Grup A - anos iniciais,E,88,5,1,Aprovado parcialmente
187,2019,3713,M,Grup B - anos finais,C,95,0,2,Reforço
188,2019,5112,M,Grup A - anos iniciais,E,95,4,2,Reforço
189,2019,3650,F,Grup A - anos iniciais,A,97,6,0,Aprovado
190,2019,3403,F,Grup A - anos iniciais,E,54,9,0,Aprovado
191,2019,5014,M,Grup A - anos iniciais,C,78,9,0,Aprovado
192,2019,3234,M,Grup B - anos finais,D,80,10,0,Aprovado
193,2019,4435,F,Grup B - anos finais,A,87,5,1,Aprovado parcialmente
194,2019,4860,M,Grup A - anos iniciais,A,78,5,1,Aprovado parcialmente
195,2019,4709,F,Grup B - anos finais,D,73,5,1,Aprovado parcialmente
196,2019,2541,M,Grup A - anos iniciais,D,89,0,2,Reforço
197,2019,4764,F,Grup B - anos finais,B,79,8,0,Aprovado
198,2019,2067,F,Grup A - anos iniciais,E,85,2,2,Reforço
199,2019,2066,M,Grup B - anos finais,D,92,8,0,Aprovado
200,2019,2256,M,Grup A - anos iniciais,A,45,0,2,Reforço
201,2019,2952,F,Grup A - anos iniciais,A,91,4,2,Reforço
202,2019,4459,M,Grup B - anos finais,E,20,2,2,Reforço
203,2019,5115,M,Grup B - anos finais,B,78,0,2,Reforço
204,2019,3502,M,Grup B - anos finais,C,95,8,0,Aprovado
205,2019,3762,F,Grup A - anos iniciais,A,89,8,0,Aprovado
206,2019,3487,F,Grup B - anos finais,E,93,4,2,Reforço
207,2019,5355,F,Grup B - anos finais,C,81,6,0,Aprovado
208,2019,3187,F,Grup A - anos iniciais,C,92,7,0,Aprovado
209,2019,2240,M,Grup B - anos finais,D,60,8,0,Aprovado
210,2019,5290,M,Grup B - anos finais,C,93,3,2,Reforço
211,2019,4853,F,Grup A - anos iniciais,A,80,5,1,Aprovado parcialmente
212,2019,2010,M,Grup A - anos iniciais,B,55,4,2,Reforço
213,2019,2223,M,Grup B - anos finais,A,82,6,0,Aprovado
214,2019,4765,M,Grup B - anos finais,E,87,8,0,Aprovado
215,2019,3121,F,Grup A - anos iniciais,E,78,8,0,Aprovado
216,2019,2848,M,Grup A - anos iniciais,C,76,4,2,Reforço
217,2019,3225,F,Grup B - anos finais,E,89,5,1,Aprovado parcialmente
218,2019,3892,F,Grup A - anos iniciais,D,94,3,2,Reforço
219,2019,3359,M,Grup A - anos iniciais,E,53,10,0,Aprovado
220,2019,3246,F,Grup B - anos finais,E,92,2,2,Reforço
221,2019,2974,F,Grup B - anos finais,C,78,9,0,Aprovado
222,2019,2689,F,Grup A - anos iniciais,C,76,9,0,Aprovado
223,2019,4662,M,Grup B - anos finais,C,91,2,2,Reforço
224,2019,3745,M,Grup B - anos finais,D,40,4,2,Reforço
225,2019,3102,F,Grup A - anos iniciais,C,95,6,0,Aprovado
226,2019,3719,F,Grup B - anos finais,E,89,4,2,Reforço
227,2019,4590,M,Grup A - anos iniciais,A,98,8,0,Aprovado
228,2019,2808,F,Grup B - anos finais,D,88,7,0,Aprovado
229,2019,2433,F,Grup A - anos iniciais,A,95,8,0,Aprovado
230,2019,4531,M,Grup A - anos iniciais,B,95,6,0,Aprovado
231,2019,4982,M,Grup A - anos iniciais,E,97,3,2,Reforço
232,2019,4215,F,Grup B - anos finais,B,54,3,2,Reforço
233,2019,5375,F,Grup B - anos finais,D,78,6,0,Aprovado
234,2019,5084,M,Grup A - anos iniciais,E,80,5,1,Aprovado parcialmente
235,2019,5281,M,Grup B - anos finais,A,87,0,2,Reforço
236,2019,3910,M,Grup B - anos finais,C,78,3,2,Reforço
237,2019,4553,F,Grup A - anos iniciais,C,73,0,2,Reforço
238,2019,2696,M,Grup A - anos iniciais,C,89,6,0,Aprovado
239,2019,2393,M,Grup B - anos finais,B,79,0,2,Reforço
240,2019,3616,F,Grup B - anos finais,D,85,10,0,Aprovado
241,2019,3170,M,Grup B - anos finais,E,92,8,0,Aprovado
242,2019,3887,M,Grup B - anos finais,A,45,5,1,Aprovado parcialmente
243,2019,3085,M,Grup B - anos finais,B,91,5,1,Aprovado parcialmente
244,2019,4476,F,Grup B - anos finais,B,20,2,2,Reforço
245,2019,5316,M,Grup B - anos finais,A,78,10,0,Aprovado
246,2019,3816,M,Grup B - anos finais,D,95,4,2,Reforço
247,2019,3542,M,Grup A - anos iniciais,C,89,10,0,Aprovado
248,2019,4857,F,Grup A - anos iniciais,B,93,3,2,Reforço
249,2019,5005,M,Grup A - anos iniciais,B,81,7,0,Aprovado
250,2019,4407,M,Grup A - anos iniciais,B,92,7,0,Aprovado
251,2019,3328,F,Grup A - anos iniciais,A,60,2,2,Reforço
252,2019,4673,M,Grup A - anos iniciais,C,93,1,2,Reforço
253,2019,4714,F,Grup A - anos iniciais,C,80,7,0,Aprovado
254,2019,2690,M,Grup A - anos iniciais,E,55,0,2,Reforço
255,2019,4931,M,Grup A - anos iniciais,D,82,0,2,Reforço
256,2019,4341,M,Grup A - anos iniciais,D,87,6,0,Aprovado
257,2019,4305,F,Grup B - anos finais,B,78,0,2,Reforço
258,2019,4725,M,Grup B - anos finais,A,76,9,0,Aprovado
259,2019,5339,F,Grup A - anos iniciais,E,89,6,0,Aprovado
260,2019,4354,M,Grup A - anos iniciais,E,94,7,0,Aprovado
261,2019,3294,M,Grup B - anos finais,C,53,8,0,Aprovado
262,2019,5054,M,Grup A - anos iniciais,D,92,9,0,Aprovado
263,2019,3973,M,Grup A - anos iniciais,E,78,6,0,Aprovado
264,2019,2626,F,Grup B - anos finais,B,76,9,0,Aprovado
265,2019,2533,F,Grup A - anos iniciais,E,91,4,2,Reforço
266,2019,5449,M,Grup A - anos iniciais,D,40,10,0,Aprovado
267,2019,2170,F,Grup B - anos finais,C,95,10,0,Aprovado
268,2019,2419,M,Grup A - anos iniciais,D,89,3,2,Reforço
269,2019,4278,M,Grup B - anos finais,C,98,7,0,Aprovado
270,2019,3210,M,Grup B - anos finais,D,88,6,0,Aprovado
271,2019,5273,M,Grup B - anos finais,D,95,6,0,Aprovado
272,2019,3321,M,Grup A - anos iniciais,D,95,4,2,Reforço
273,2019,4721,F,Grup B - anos finais,A,97,7,0,Aprovado
274,2019,3715,M,Grup A - anos iniciais,B,54,9,0,Aprovado
275,2019,5455,M,Grup A - anos iniciais,B,78,5,1,Aprovado parcialmente
276,2019,5004,M,Grup A - anos iniciais,D,80,2,2,Reforço
277,2019,2687,M,Grup A - anos iniciais,B,87,4,2,Reforço
278,2019,2634,F,Grup A - anos iniciais,E,78,6,0,Aprovado
279,2019,4697,M,Grup B - anos finais,D,73,1,2,Reforço
280,2019,4202,F,Grup A - anos iniciais,C,89,0,2,Reforço
281,2019,3718,F,Grup A - anos iniciais,A,79,2,2,Reforço
282,2019,3917,F,Grup B - anos finais,E,85,4,2,Reforço
283,2019,4383,M,Grup A - anos iniciais,A,92,10,0,Aprovado
284,2019,4416,M,Grup B - anos finais,B,45,10,0,Aprovado
285,2019,4654,F,Grup B - anos finais,C,91,0,2,Reforço
286,2019,2354,F,Grup A - anos iniciais,B,20,10,0,Aprovado
287,2019,2274,F,Grup B - anos finais,D,78,6,0,Aprovado
288,2019,4225,F,Grup A - anos iniciais,B,95,10,0,Aprovado
289,2019,5019,F,Grup A - anos iniciais,B,89,4,2,Reforço
290,2019,2236,M,Grup B - anos finais,E,93,7,0,Aprovado
291,2019,4720,M,Grup B - anos finais,B,81,6,0,Aprovado
292,2019,2442,M,Grup A - anos iniciais,E,92,4,2,Reforço
293,2019,2599,F,Grup B - anos finais,E,83,9,0,Aprovado
294,2019,3356,M,Grup A - anos iniciais,D,45,6,0,Aprovado
295,2019,2644,M,Grup B - anos finais,A,75,5,1,Aprovado parcialmente
296,2019,2811,F,Grup B - anos finais,E,83,9,0,Aprovado
297,2019,4161,M,Grup B - anos finais,D,55,4,2,Reforço
298,2019,5182,F,Grup B - anos finais,D,69,0,2,Reforço
299,2019,4508,M,Grup B - anos finais,B,60,9,0,Aprovado
300,2019,2606,F,Grup B - anos finais,E,78,5,1,Aprovado parcialmente
301,2019,3196,M,Grup B - anos finais,C,79,8,0,Aprovado
302,2019,2276,F,Grup B - anos finais,E,67,7,0,Aprovado
303,2019,4161,M,Grup A - anos iniciais,B,58,8,0,Aprovado
304,2019,4417,F,Grup A - anos iniciais,C,87,8,0,Aprovado
305,2019,5242,M,Grup A - anos iniciais,E,78,4,2,Reforço
306,2019,2440,M,Grup B - anos finais,B,76,3,2,Reforço
307,2019,3025,M,Grup B - anos finais,A,54,0,2,Reforço
308,2019,2476,F,Grup A - anos iniciais,D,34,9,0,Aprovado
309,2019,3566,F,Grup B - anos finais,C,53,2,2,Reforço
310,2019,2613,M,Grup A - anos iniciais,B,57,8,0,Aprovado
311,2019,2508,F,Grup B - anos finais,D,78,3,2,Reforço
312,2019,3500,M,Grup A - anos iniciais,A,76,3,2,Reforço
313,2019,5390,M,Grup A - anos iniciais,E,45,10,0,Aprovado
314,2019,3680,F,Grup A - anos iniciais,C,90,3,2,Reforço
315,2019,2987,F,Grup B - anos finais,D,49,4,2,Reforço
316,2019,5054,M,Grup A - anos iniciais,C,89,8,0,Aprovado
317,2019,4975,M,Grup A - anos iniciais,E,98,7,0,Aprovado
318,2019,4819,M,Grup A - anos iniciais,C,88,9,0,Aprovado
319,2019,3164,F,Grup A - anos iniciais,D,57,8,0,Aprovado
320,2019,2075,M,Grup A - anos iniciais,C,70,4,2,Reforço
321,2019,2666,M,Grup B - anos finais,C,97,3,2,Reforço
322,2019,3711,F,Grup B - anos finais,B,54,0,2,Reforço
323,2019,2944,M,Grup A - anos iniciais,C,78,6,0,Aprovado
324,2019,3228,M,Grup B - anos finais,E,60,9,0,Aprovado
325,2019,4450,F,Grup A - anos iniciais,A,67,9,0,Aprovado
326,2019,5240,M,Grup A - anos iniciais,D,11,7,0,Aprovado
327,2019,2343,M,Grup B - anos finais,E,73,2,2,Reforço
328,2019,2147,M,Grup B - anos finais,E,89,0,2,Reforço
329,2019,4725,F,Grup A - anos iniciais,B,56,8,0,Aprovado
330,2019,5300,M,Grup A - anos iniciais,D,85,9,0,Aprovado
331,2019,4640,F,Grup B - anos finais,E,92,9,0,Aprovado
332,2019,4111,F,Grup A - anos iniciais,A,86,6,0,Aprovado
333,2019,4095,F,Grup B - anos finais,D,91,9,0,Aprovado
334,2019,3843,M,Grup A - anos iniciais,A,75,2,2,Reforço
335,2019,4045,F,Grup A - anos iniciais,A,78,2,2,Reforço
336,2019,2132,F,Grup B - anos finais,A,95,0,2,Reforço
337,2019,2806,F,Grup A - anos iniciais,B,49,10,0,Aprovado
338,2019,4523,M,Grup B - anos finais,A,56,5,1,Aprovado parcialmente
339,2019,4391,F,Grup B - anos finais,A,81,0,2,Reforço
340,2019,2769,F,Grup B - anos finais,C,92,3,2,Reforço
341,2019,2367,F,Grup A - anos iniciais,A,76,9,0,Aprovado
342,2019,5295,F,Grup B - anos finais,A,91,2,2,Reforço
343,2019,3919,F,Grup B - anos finais,D,89,6,0,Aprovado
344,2019,3809,M,Grup B - anos finais,C,29,9,0,Aprovado
345,2019,4734,M,Grup B - anos finais,D,60,0,2,Reforço
346,2019,4606,F,Grup A - anos iniciais,B,51,8,0,Aprovado
347,2019,2821,M,Grup A - anos iniciais,B,80,2,2,Reforço
348,2019,2902,F,Grup B - anos finais,C,55,3,2,Reforço
349,2019,4880,M,Grup B - anos finais,A,34,1,2,Reforço
350,2019,4593,F,Grup A - anos iniciais,D,87,8,0,Aprovado
351,2019,4971,M,Grup A - anos iniciais,C,65,10,0,Aprovado
352,2019,4884,M,Grup A - anos iniciais,C,76,4,2,Reforço
353,2019,3666,M,Grup B - anos finais,C,89,7,0,Aprovado
354,2019,4834,F,Grup A - anos iniciais,A,45,9,0,Aprovado
355,2019,2738,F,Grup B - anos finais,E,53,3,2,Reforço
356,2019,2812,M,Grup A - anos iniciais,D,78,0,2,Reforço
357,2019,2358,F,Grup B - anos finais,C,80,2,2,Reforço
358,2019,4477,M,Grup B - anos finais,C,76,3,2,Reforço
359,2019,4679,F,Grup B - anos finais,D,19,4,2,Reforço
360,2019,2231,M,Grup A - anos iniciais,C,84,2,2,Reforço
361,2019,3101,F,Grup B - anos finais,A,95,8,0,Aprovado
362,2019,4096,F,Grup B - anos finais,A,89,9,0,Aprovado
363,2019,2696,M,Grup A - anos iniciais,D,65,8,0,Aprovado
364,2019,4277,M,Grup B - anos finais,D,46,3,2,Reforço
365,2019,4879,M,Grup B - anos finais,A,46,2,2,Reforço
366,2019,2319,F,Grup B - anos finais,B,89,10,0,Aprovado
367,2019,4138,M,Grup A - anos iniciais,D,78,1,2,Reforço
368,2019,2481,M,Grup B - anos finais,D,93,7,0,Aprovado
369,2019,4014,F,Grup A - anos iniciais,D,54,3,2,Reforço
370,2019,3942,M,Grup A - anos iniciais,C,72,4,2,Reforço
371,2019,3474,M,Grup A - anos iniciais,A,94,0,2,Reforço
372,2019,4603,F,Grup A - anos iniciais,B,81,2,2,Reforço
373,2019,3735,F,Grup B - anos finais,D,76,0,2,Reforço
374,2019,4874,F,Grup A - anos iniciais,D,89,5,1,Aprovado parcialmente
375,2019,3101,M,Grup B - anos finais,C,78,5,1,Aprovado parcialmente
376,2019,4595,M,Grup A - anos iniciais,C,60,9,0,Aprovado
377,2019,4344,M,Grup A - anos iniciais,A,93,8,0,Aprovado
378,2019,4684,M,Grup A - anos iniciais,D,80,3,2,Reforço
379,2019,2383,M,Grup A - anos iniciais,B,55,0,2,Reforço
380,2019,2657,M,Grup B - anos finais,D,82,6,0,Aprovado
381,2019,4895,F,Grup B - anos finais,C,87,7,0,Aprovado
382,2019,5396,M,Grup B - anos finais,C,78,10,0,Aprovado
383,2019,4417,F,Grup B - anos finais,E,76,10,0,Aprovado
384,2019,5275,M,Grup A - anos iniciais,D,89,8,0,Aprovado
385,2019,5393,M,Grup A - anos iniciais,D,94,0,2,Reforço
386,2019,2132,M,Grup A - anos iniciais,B,53,7,0,Aprovado
387,2019,5037,F,Grup A - anos iniciais,C,92,6,0,Aprovado
388,2019,3708,M,Grup A - anos iniciais,A,78,7,0,Aprovado
389,2019,2232,M,Grup A - anos iniciais,B,76,9,0,Aprovado
390,2019,4091,M,Grup B - anos finais,A,91,5,1,Aprovado parcialmente
391,2019,2385,M,Grup B - anos finais,D,40,10,0,Aprovado
392,2019,2299,M,Grup A - anos iniciais,E,95,7,0,Aprovado
393,2019,2386,F,Grup B - anos finais,E,89,9,0,Aprovado
394,2019,5016,M,Grup A - anos iniciais,D,98,3,2,Reforço
395,2019,4417,M,Grup A - anos iniciais,D,88,2,2,Reforço
